location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
1,13000000,3,3,1580,8,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0
1,26000000,4,4,2900,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
1,17000000,4,3,2100,6.2,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,46000000,5,4,3500,11.8,0,0,0,1,0,3,1,1,1,0,0,0,0,0,0
31,75000000,3,2,2000,36,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
17,23000000,4,4,2800,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,24000000,4,4,2900,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
24,5500000,2,1,871,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
18,22800000,4,4,1885,5.5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
22,14000000,3,2,1200,9.7,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
9,20000000,4,3,2700,10,1,1,0,0,0,2,1,1,1,0,1,0,1,0,0
35,37500000,3,1,1200,10.56,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
35,57000000,4,3,3000,7.5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
35,85000000,4,3,2100,13.32,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
18,22500000,3,2,1800,10.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
7,15000000,3,2,2000,8.25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
9,31000000,4,5,4000,10,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
11,32500000,4,4,3200,10,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0
11,57500000,5,5,3800,20,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0
29,5000000,2,1,1200,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,34000000,4,4,3300,8,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
11,42000000,5,5,4000,12.5,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
18,18000000,3,3,1800,10.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
